family_name,ID
Vibrionaceae,GCF_000222685.1
Vibrionaceae,GCF_001995985.1
Vibrionaceae,GCF_900149295.1
Vibrionaceae,GCF_900088415.1
Vibrionaceae,GCF_000950415.1
Vibrionaceae,GCF_000696385.1
Vibrionaceae,GCF_001591145.1
Vibrionaceae,GCF_002749895.1
Vibrionaceae,GCF_900107935.1
Vibrionaceae,GCF_000711795.1
Vibrionaceae,GCF_000165125.1
Vibrionaceae,GCF_012395185.1
Vibrionaceae,GCF_002954725.1
Vibrionaceae,GCF_001854765.1
Vibrionaceae,GCF_009910675.1
Vibrionaceae,GCF_003970385.1
Vibrionaceae,GCF_000354175.2
Vibrionaceae,GCF_900460245.1
Vibrionaceae,GCF_900167345.1
Vibrionaceae,GCF_002741985.1
Vibrionaceae,GCF_003026815.1
Vibrionaceae,GCF_000176235.1
Vibrionaceae,GCF_009938165.1
Vibrionaceae,GCF_007990935.1
Vibrionaceae,GCF_001558015.1
Vibrionaceae,GCF_000425165.1
Vibrionaceae,GCF_003937805.1
Vibrionaceae,GCF_000695255.1
Vibrionaceae,GCF_002157735.2
Vibrionaceae,GCF_002906655.1
Vibrionaceae,GCF_001591105.1
Vibrionaceae,GCF_000467125.1
Vibrionaceae,GCF_001996005.1
Vibrionaceae,GCF_001274785.1
Vibrionaceae,GCF_000621165.1
Vibrionaceae,GCF_001559595.1
Vibrionaceae,GCF_001048535.1
Vibrionaceae,GCF_000331515.1
Vibrionaceae,GCF_009811315.1
Vibrionaceae,GCF_000830505.1
Vibrionaceae,GCF_001996165.1
Vibrionaceae,GCF_000817815.1
Vibrionaceae,GCF_013041605.1
Vibrionaceae,GCF_003025555.1
Vibrionaceae,GCF_002224265.1
Vibrionaceae,GCF_013074385.2
