GEMBASE_NAME,Isolation source,Strain Category,phylogroup
ESCO.0216.00188,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00189,Host-associated,Mammal_Faecal,D
ESCO.0216.00190,Host-associated,Mammal_Faecal,B2
ESCO.0216.00191,Environmental,Water,B1
ESCO.0216.00193,Environmental,Water,B1
ESCO.0216.00194,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00195,Host-associated,Human_Faecal,A
ESCO.0216.00196,Host-associated,Bird_Faecal,D
ESCO.0216.00197,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00198,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00199,Environmental,Water,B1
ESCO.0216.00200,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00201,Host-associated,Human_Intestinal,D
ESCO.0216.00202,Host-associated,Bird_Faecal,A
ESCO.0216.00203,Environmental,Water,B1
ESCO.0216.00204,Host-associated,Bird_Faecal,D
ESCO.0216.00205,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00206,Host-associated,Mammal_Faecal,B2
ESCO.0216.00207,Host-associated,Human_Intestinal,B2
ESCO.0216.00208,Host-associated,Mammal_Faecal,B2
ESCO.0216.00209,Host-associated,Mammal_Faecal,B1
ESCO.0216.00210,Host-associated,Human_Intestinal,B2
ESCO.0216.00211,Host-associated,Human_Intestinal,B2
ESCO.0216.00212,Host-associated,Mammal_Faecal,D
ESCO.0216.00213,Environmental,Water,B1
ESCO.0216.00214,Host-associated,Mammal_Faecal,B2
ESCO.0216.00215,Environmental,Water,B1
ESCO.0216.00216,Environmental,Water,B2
ESCO.0216.00217,Host-associated,Mammal_Faecal,D
ESCO.0216.00218,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00219,Environmental,Water,B2
ESCO.0216.00220,Host-associated,Bird_Faecal,D
ESCO.0216.00221,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00222,Host-associated,Human_Extra-intestinal,C
ESCO.0216.00223,Environmental,Water,B2
ESCO.0216.00224,Host-associated,Mammal_Faecal,B2
ESCO.0216.00225,Host-associated,Bird_Faecal,A
ESCO.0216.00226,Host-associated,Human_Intestinal,B2
ESCO.0216.00227,Environmental,Water,E
ESCO.0216.00228,Host-associated,Mammal_Faecal,D
ESCO.0216.00229,Host-associated,Bird_Faecal,E
ESCO.0216.00230,Host-associated,Mammal_Faecal,D
ESCO.0216.00231,Host-associated,Bird_Faecal,B1
ESCO.0216.00232,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00233,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00234,Host-associated,Human_Faecal,B2
ESCO.0216.00235,Host-associated,Poultry_Meat,B1
ESCO.0216.00236,Environmental,Water,D
ESCO.0216.00237,Environmental,Water,B1
ESCO.0216.00238,Environmental,Water,B1
ESCO.0216.00239,Host-associated,Human_Faecal,B2
ESCO.0216.00240,Host-associated,Poultry_Meat,B1
ESCO.0216.00241,Host-associated,Poultry_Meat,B1
ESCO.0216.00242,Host-associated,Human_Intestinal,B2
ESCO.0216.00243,Host-associated,Human_Faecal,A
ESCO.0216.00244,Host-associated,Mammal_Faecal,A
ESCO.0216.00245,Host-associated,Bird_Faecal,B1
ESCO.0216.00246,Environmental,Water,B1
ESCO.0216.00247,Environmental,Water,B2
ESCO.0216.00248,Host-associated,Human_Intestinal,B2
ESCO.0216.00249,Environmental,Water,E
ESCO.0216.00250,Host-associated,Human_Extra-intestinal,A
ESCO.0216.00251,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00252,Host-associated,Human_Intestinal,B2
ESCO.0216.00253,Host-associated,Human_Intestinal,B2
ESCO.0216.00254,Host-associated,Poultry_Meat,B1
ESCO.0216.00256,Host-associated,Poultry_Meat,B2
ESCO.0216.00257,Host-associated,Poultry_Meat,B2
ESCO.0216.00258,Environmental,Water,B1
ESCO.0216.00260,Host-associated,Human_Extra-intestinal,C
ESCO.0216.00261,Host-associated,Bird_Faecal,E
ESCO.0216.00263,Host-associated,Mammal_Faecal,B2
ESCO.0216.00264,Host-associated,Human_Intestinal,D
ESCO.0216.00265,Host-associated,Human_Intestinal,B2
ESCO.0216.00266,Environmental,Water,B1
ESCO.0216.00267,Environmental,Water,B2
ESCO.0216.00268,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00269,Host-associated,Human_Intestinal,D
ESCO.0216.00270,Host-associated,Bird_Faecal,D
ESCO.0216.00271,Environmental,Water,D
ESCO.0216.00272,Host-associated,Human_Intestinal,B2
ESCO.0216.00273,Host-associated,Mammal_Faecal,B1
ESCO.0216.00274,Host-associated,Human_Extra-intestinal,A
ESCO.0216.00276,Host-associated,Mammal_Faecal,B2
ESCO.0216.00277,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00279,Environmental,Water,B1
ESCO.0216.00280,Environmental,Water,B1
ESCO.0216.00281,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00282,Host-associated,Poultry_Meat,B1
ESCO.0216.00284,Host-associated,Bird_Faecal,B1
ESCO.0216.00285,Environmental,Water,A
ESCO.0216.00286,Host-associated,Human_Intestinal,D
ESCO.0216.00287,Host-associated,Bird_Faecal,D
ESCO.0216.00288,Host-associated,Bird_Faecal,D
ESCO.0216.00289,Host-associated,Bird_Faecal,D
ESCO.0216.00291,Environmental,Water,B1
ESCO.0216.00292,Environmental,Water,B1
ESCO.0216.00293,Host-associated,Bird_Faecal,A
ESCO.0216.00294,Environmental,Water,D
ESCO.0216.00296,Host-associated,Human_Faecal,B2
ESCO.0216.00297,Host-associated,Bird_Faecal,B2
ESCO.0216.00298,Environmental,Water,B2
ESCO.0216.00299,Environmental,Water,E
ESCO.0216.00300,Host-associated,Mammal_Faecal,B2
ESCO.0216.00302,Host-associated,Mammal_Faecal,B2
ESCO.0216.00303,Host-associated,Human_Intestinal,B2
ESCO.0216.00304,Host-associated,Human_Intestinal,D
ESCO.0216.00305,Host-associated,Human_Intestinal,D
ESCO.0216.00306,Host-associated,Poultry_Meat,D
ESCO.0216.00307,Host-associated,Human_Extra-intestinal,A
ESCO.0216.00308,Host-associated,Bird_Faecal,E
ESCO.0216.00309,Host-associated,Bird_Faecal,B1
ESCO.0216.00310,Host-associated,Human_Intestinal,B2
ESCO.0216.00311,Host-associated,Mammal_Faecal,B2
ESCO.0216.00312,Host-associated,Human_Intestinal,B2
ESCO.0216.00313,Environmental,Water,D
ESCO.0216.00314,Host-associated,Bird_Faecal,B2
ESCO.0216.00315,Environmental,Water,B1
ESCO.0216.00316,Host-associated,Poultry_Meat,B1
ESCO.0216.00317,Host-associated,Human_Faecal,A
ESCO.0216.00318,Host-associated,Poultry_Meat,B2
ESCO.0216.00319,Host-associated,Bird_Faecal,B1
ESCO.0216.00321,Environmental,Water,D
ESCO.0216.00322,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00323,Environmental,Water,B2
ESCO.0216.00324,Host-associated,Human_Intestinal,B1
ESCO.0216.00325,Environmental,Water,B2
ESCO.0216.00326,Host-associated,Mammal_Faecal,B2
ESCO.0216.00327,Host-associated,Human_Intestinal,B2
ESCO.0216.00328,Host-associated,Bird_Faecal,B2
ESCO.0216.00330,Environmental,Water,B1
ESCO.0216.00331,Environmental,Water,B1
ESCO.0216.00332,Host-associated,Human_Faecal,B1
ESCO.0216.00333,Host-associated,Human_Intestinal,D
ESCO.0216.00334,Environmental,Water,B1
ESCO.0216.00335,Host-associated,Bird_Faecal,B1
ESCO.0216.00336,Environmental,Water,A
ESCO.0216.00338,Host-associated,Human_Intestinal,B2
ESCO.0216.00339,Host-associated,Mammal_Faecal,D
ESCO.0216.00340,Host-associated,Mammal_Faecal,B2
ESCO.0216.00341,Host-associated,Mammal_Faecal,B2
ESCO.0216.00342,Host-associated,Human_Intestinal,A
